timestamp,event_id,src,dst,account,action,result,severity,host,proto,port,detail
2026-09-19T08:00:15+00:00,d8fed0c4-03c4-4158-980b-4873c258e750,10.0.20.102,10.0.10.21,svc_backup,login,failure,35,srv-db01,ssh,22,Failed password for svc_backup
2026-09-19T08:01:45+00:00,76750ae1-2a8c-4d7d-bfad-0cd4df533f73,10.0.20.102,10.0.10.21,svc_backup,login,failure,35,srv-db01,ssh,22,Failed password for svc_backup
2026-09-19T08:02:05+00:00,c74e37bf-f28b-465e-9b58-88bbcfc5ed54,10.0.10.21,10.0.10.5,bob,login,success,10,dc01,ssh,22,Accepted password
2026-09-19T08:03:15+00:00,517d11f6-5815-4041-b959-823644e8a46d,10.0.20.102,10.0.10.21,svc_backup,login,failure,35,srv-db01,ssh,22,Failed password for svc_backup
2026-09-19T08:04:45+00:00,91ef4d8d-b267-42ed-8ad9-6f55d3093bee,10.0.20.102,10.0.10.21,svc_backup,login,failure,35,srv-db01,ssh,22,Failed password for svc_backup
2026-09-19T08:06:15+00:00,addfb1d5-4385-43a3-a260-fc17c400eda1,10.0.20.102,10.0.10.21,svc_backup,login,failure,35,srv-db01,ssh,22,Failed password for svc_backup
2026-09-19T08:06:19+00:00,3812d462-4d73-469b-bbd6-d12c9a865927,10.0.20.102,10.0.20.45,dave,login,success,10,wks-045,ssh,22,Accepted password
2026-09-19T08:06:46+00:00,9b215c2f-ebad-47ed-a8cf-622242f08850,10.0.20.45,10.0.10.9,carol,login,success,10,mon01,ssh,22,Accepted password
2026-09-19T08:07:45+00:00,19fe8f80-f2ff-4fbe-9de8-f96031052a18,10.0.20.102,10.0.10.21,svc_backup,login,failure,35,srv-db01,ssh,22,Failed password for svc_backup
2026-09-19T08:07:54+00:00,b015118f-42c2-46d3-bd6c-69375c50a172,10.0.10.11,10.0.10.5,jsmith,login,success,10,dc01,ssh,22,Accepted password
2026-09-19T08:08:30+00:00,98a5fde2-e18b-4df6-bee6-7114e9946fac,10.0.20.45,10.0.20.45,dave,login,success,10,wks-045,ssh,22,Accepted password
2026-09-19T08:09:15+00:00,512455d6-af0d-49d4-908f-ddb2e97207e9,10.0.20.102,10.0.10.21,svc_backup,login,failure,35,srv-db01,ssh,22,Failed password for svc_backup
